ExperimentName	Subject	Session	Block	GunKey	mapping	Procedure[Block]	ResponseMapping	ResponseMapping.Cycle	ResponseMapping.Sample	Running[Block]	ToolKey	Trial	DoIntro	DoIntro.Cycle	DoIntro.Sample	Procedure[Trial]	Running[Trial]	SubTrial	BlockProcList	BlockProcList.Cycle	BlockProcList.Sample	Condition	Procedure[SubTrial]	Running[SubTrial]	LogLevel5	BlackFace	BlackGunList	BlackPrime	BlackTarget	ChunkList1	ChunkList1.Cycle	ChunkList1.Sample	Correct	Cue.DurationError	Cue.OnsetDelay	Cue.OnsetTime	CueType	feedbackmask	feedduration	FeedMask.ACC	FeedMask.CRESP	FeedMask.DurationError	FeedMask.OnsetDelay	FeedMask.OnsetTime	FeedMask.RESP	FeedMask.RT	FeedMask.RTTime	GunPic	GunTarget	Mask.DurationError	Mask.OnsetDelay	Mask.OnsetTime	Probe.ACC	Probe.CRESP	Probe.DurationError	Probe.OnsetDelay	Probe.OnsetTime	Probe.RESP	Probe.RT	Probe.RTTime	ProbeType	Procedure[LogLevel5]	Response.DurationError	Response.OnsetDelay	Response.OnsetTime	Running[LogLevel5]	TrialType	WhiteFace	WhitePrime
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	64	9	3	BlackFace3.bmp	BlackFace4.bmp	3	2	163	f	0	1	591463	whiteface4.bmp	fast	500	0		0	1	592164		0	0			0	0	590462	1	f	0	0	591663	f	333	591996	BlackFace4.bmp	TrialProc	0	0	591863	ChunkList1	WhiteBlack	4	whiteface4.bmp
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	65	3	3	BlackFace1.bmp	BlackFace4.bmp	3	2	164	f	0	1	593665	whiteface3.bmp	fast	500	0		0	1	594366		0	0			0	0	592664	1	f	0	0	593865	f	355	594220	BlackFace4.bmp	TrialProc	0	0	594065	ChunkList1	WhiteBlack	3	whiteface3.bmp
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	66					4	2	165																														BreakTime				ChunkList1			
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	67	7	2	BlackFace3.bmp	BlackFace1.bmp	5	2	166	j	0	1	603924	BlackFace3.bmp	fast	500	0		0	1	604626		0	0	3	WEAPON3.bmp	0	7	602923	1	j	0	1	604125	j	455	604580	WEAPON3.bmp	TrialProc	0	0	604325	ChunkList1	BlackGun		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	68	6	1	BlackFace2.bmp	BlackFace4.bmp	5	2	167	f	0	1	606126	BlackFace2.bmp	fast	500	0		0	1	606828		0	0			0	-1	605125	1	f	0	1	606327	f	317	606644	BlackFace4.bmp	TrialProc	0	0	606527	ChunkList1	BlackBlack		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	69	7	2	BlackFace3.bmp	BlackFace1.bmp	5	2	168	j	0	0	608328	BlackFace3.bmp	fast	500	0		0	1	609030		0	0	3	WEAPON3.bmp	0	0	607328	1	j	0	1	608529	j	395	608924	WEAPON3.bmp	TrialProc	0	0	608729	ChunkList1	BlackGun		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	70	12	2	BlackFace4.bmp	BlackFace3.bmp	5	2	169	j	0	1	610531	BlackFace4.bmp	fast	500	0		0	1	611232		0	0	2	WEAPON2.bmp	0	0	609530	1	j	0	0	610731	j	417	611148	WEAPON2.bmp	TrialProc	0	0	610931	ChunkList1	BlackGun		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	71	10	2	BlackFace4.bmp	BlackFace1.bmp	5	2	170	j	0	1	612733	BlackFace4.bmp	fast	500	0		0	1	613434		0	0	1	WEAPON1.bmp	0	0	611732	1	j	0	0	612933	j	375	613308	WEAPON1.bmp	TrialProc	0	0	613133	ChunkList1	BlackGun		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	72	2	1	BlackFace1.bmp	BlackFace3.bmp	5	2	171	f	0	1	614935	BlackFace1.bmp	fast	500	0		0	1	615636		0	0			0	0	613934	1	f	0	0	615135	f	349	615484	BlackFace3.bmp	TrialProc	0	0	615335	ChunkList1	BlackBlack		
Scherer_2015_WIP	1	1	1	j	RightGun	SubsessionProc	1	2	1	ResponseMapping	f	3	2	1	3	RunProc	DoIntro	1	1	4	1	BlackGun	BlackGunProc	BlockProcList	73	5	3	BlackFace2.bmp	BlackFace3.bmp	5	2	172	f	0	1	617137	whiteface2.bmp	fast	500	0		0	1	617838		0	0			0	0	616136	1	f	0	0	617337	f	387	617724	BlackFace3.bmp	TrialProc	0	0	617537	ChunkList1	WhiteBlack	2	whiteface2.bmp
